Timestamp           MALEE.Open     MALEE.High      MALEE.Low    MALEE.Close                .PE 
27/09/05                 1.000          1.020          1.000          1.020              14.890
28/09/05                 1.010          1.030          1.000          1.000              14.600
29/09/05                 1.000          1.010          0.990          0.990              14.450
30/09/05                 1.000          1.010          0.990          0.990              14.520
03/10/05                 1.020          1.020          0.990          0.990              14.520
04/10/05                 0.990          1.000          0.980          0.980              14.380
05/10/05                 0.990          0.990          0.990          0.990              14.450
06/10/05                 1.000          1.010          0.980          1.010              14.740
07/10/05                 0.990          0.990          0.990          0.990              14.520
10/10/05                 1.010          1.010          1.010          1.010              14.740
11/10/05                 1.010          1.010          0.990          0.990              14.520
12/10/05                 1.010          1.010          0.980          0.990              14.520
13/10/05                 0.980          0.990          0.980          0.990              14.450
14/10/05                 0.980          0.980          0.970          0.970              14.230
17/10/05                 0.970          1.000          0.970          1.000              14.600
19/10/05                 0.980          0.980          0.980          0.980              14.300
20/10/05                 0.980          0.980          0.970          0.980              14.380
25/10/05                 1.000          1.000          1.000          1.000              14.600
26/10/05                 0.970          0.990          0.950          0.990              14.450
27/10/05                 1.000          1.000          0.970          0.970              14.230
28/10/05                 1.000          1.000          0.990          0.990              14.520
01/11/05                 1.000          1.000          0.970          0.970              14.160
02/11/05                 0.990          0.990          0.990          0.990              14.520
03/11/05                 0.980          0.980          0.970          0.980              14.300
07/11/05                 0.980          0.980          0.980          0.980              14.300
08/11/05                 0.980          0.980          0.980          0.980              14.300
09/11/05                 0.990          1.000          0.980          1.000              14.600
10/11/05                 0.980          1.030          0.980          1.000              14.670
11/11/05                 1.000          1.000          1.000          1.000              14.670
14/11/05                 1.010          1.010          1.010          1.010              14.820
15/11/05                 0.980          0.980          0.980          0.980              14.300
16/11/05                 1.010          1.010          0.980          0.980              14.300
17/11/05                 0.980          1.000          0.960          0.970              14.230
21/11/05                 0.990          1.000          0.970          0.980              14.300
22/11/05                 0.970          0.970          0.960          0.960              13.980
23/11/05                 0.960          0.960          0.950          0.950              13.830
24/11/05                 0.950          1.020          0.950          1.000              14.640
25/11/05                 0.960          0.960          0.950          0.950              13.910
28/11/05                 0.950          0.950          0.950          0.950              13.910
01/12/05                 0.950          0.950          0.950          0.950              13.910
02/12/05                 0.950          0.950          0.950          0.950              13.910
06/12/05                 0.950          0.950          0.950          0.950              13.910
08/12/05                 0.980          0.980          0.980          0.980              14.270
09/12/05                 0.980          0.980          0.970          0.970              14.200
14/12/05                 0.970          0.970          0.970          0.970              14.130
15/12/05                 0.970          0.970          0.970          0.970              14.200
16/12/05                 0.970          0.970          0.970          0.970              14.130
21/12/05                 1.000          1.000          0.970          0.970              14.200
22/12/05                 0.980          0.980          0.980          0.980              14.270
23/12/05                 0.950          0.970          0.950          0.950              13.910
26/12/05                 0.970          0.980          0.960          0.980              14.270
27/12/05                 0.970          0.980          0.970          0.970              14.200
28/12/05                 0.970          0.990          0.960          0.970              14.200
29/12/05                 0.980          0.990          0.970          0.970              14.200
30/12/05                 0.970          0.990          0.970          0.970              14.200
03/01/06                 0.960          0.990          0.960          0.980              14.270
04/01/06                 0.980          0.980          0.980          0.980              14.270
05/01/06                 0.990          1.000          0.980          0.980              14.270
06/01/06                 0.990          1.000          0.990          1.000              14.570
09/01/06                 1.000          1.020          1.000          1.000              14.640
10/01/06                 1.000          1.030          1.000          1.020              14.860
11/01/06                 1.020          1.050          1.020          1.040              15.220
12/01/06                 1.050          1.060          1.020          1.030              15.080
13/01/06                 1.040          1.040          1.020          1.030              15.000
16/01/06                 1.030          1.090          1.030          1.040              15.220
17/01/06                 1.050          1.060          1.040          1.040              15.150
18/01/06                 1.040          1.040          1.010          1.020              14.860
19/01/06                 1.020          1.040          1.020          1.020              14.930
20/01/06                 1.030          1.050          1.030          1.030              15.000
23/01/06                 1.020          1.050          1.020          1.020              14.930
24/01/06                 1.030          1.050          1.030          1.030              15.080
25/01/06                 1.050          1.050          1.020          1.020              14.930
26/01/06                 1.030          1.050          1.030          1.040              15.150
27/01/06                 1.040          1.070          1.030          1.050              15.370
30/01/06                 1.050          1.100          1.050          1.060              15.520
31/01/06                 1.070          1.090          1.060          1.060              15.520
01/02/06                 1.060          1.060          1.050          1.060              15.520
02/02/06                 1.050          1.050          1.020          1.020              14.860
03/02/06                 1.020          1.030          1.020          1.030              15.000
06/02/06                 1.040          1.080          1.040          1.050              15.300
07/02/06                 1.040          1.050          1.040          1.050              15.370
08/02/06                 1.050          1.070          1.050          1.060              15.440
09/02/06                 1.050          1.070          1.060          1.060              15.440
10/02/06                 1.050          1.060          1.050          1.050              15.370
14/02/06                 1.040          1.050          1.020          1.020              14.930
15/02/06                 1.030          1.030          1.030          1.030              15.000
16/02/06                 1.030          1.050          1.030          1.050              15.300
17/02/06                 1.050          1.050          1.050          1.050              15.370
20/02/06                 1.050          1.050          1.040          1.050              15.300
21/02/06                 1.050          1.060          1.050          1.060              15.440
22/02/06                 1.050          1.060          1.050          1.050              15.300
23/02/06                 1.050          1.060          1.050          1.050              15.370
24/02/06                 1.050          1.060          1.050          1.060              15.440
27/02/06                 1.050          1.050          1.040          1.040              15.220
28/02/06                 1.040          1.050          1.030          1.030              15.080
01/03/06                 1.030          1.060          1.030          1.060              15.440
02/03/06                 1.050          1.050          1.050          1.050              15.300
03/03/06                 1.050          1.050          1.030          1.040              15.150
06/03/06                 1.050          1.070          1.060          1.070              15.660
08/03/06                 1.050          1.050          1.050          1.050              45.750
09/03/06                 1.050          1.050          1.040          1.040              63.750
10/03/06                 1.040          1.040          1.040          1.040              63.440
13/03/06                 1.040          1.040          1.040          1.040              63.750
