Timestamp             AHC.Open       AHC.High        AHC.Low      AHC.Close                .PE 
28/01/02                 1.310          1.310          1.310          1.310               4.750
31/01/02                 1.310          1.310          1.310          1.310               4.750
06/02/02                 1.280          1.420          1.270          1.420               5.150
07/02/02                 1.330          1.330          1.330          1.330               4.840
13/02/02                 1.250          1.250          1.250          1.250               4.540
13/03/02                 1.420          1.420          1.420          1.420               5.020
21/03/02                 1.580          1.580          1.580          1.580               5.610
22/03/02                 1.620          1.620          1.620          1.620               5.750
22/04/02                 1.570          1.580          1.570          1.580               5.610
23/04/02                 1.580          1.580          1.580          1.580               5.610
25/04/02                 1.580          1.580          1.420          1.420               5.020
08/05/02                 1.290          1.300          1.290          1.290               4.570
16/05/02                 1.420          1.420          1.420          1.420               5.020
17/05/02                 1.750          1.840          1.670          1.830               6.490
21/05/02                 1.580          1.580          1.580          1.580               4.890
10/06/02                 1.670          1.830          1.670          1.830               5.660
12/06/02                 1.830          1.830          1.830          1.830               5.660
14/06/02                 2.000          2.000          2.000          2.000               6.180
25/06/02                 1.670          1.670          1.670          1.670               5.150
26/06/02                 1.510          1.510          1.510          1.510               4.660
27/06/02                 1.590          1.590          1.590          1.590               4.910
02/07/02                 1.670          1.670          1.670          1.670               5.150
05/07/02                 1.670          1.670          1.670          1.670               5.170
11/07/02                 1.650          1.650          1.650          1.650               5.090
23/07/02                 1.660          1.670          1.660          1.670               5.150
30/07/02                 1.580          1.580          1.580          1.580               4.890
31/07/02                 1.580          1.580          1.580          1.580               4.890
16/08/02                 1.670          1.790          1.670          1.790               5.530
19/08/02                 1.830          1.830          1.830          1.830               5.660
20/08/02                 1.830          1.920          1.830          1.920               4.760
22/08/02                 1.870          1.870          1.870          1.870               4.660
30/08/02                 1.800          1.800          1.800          1.800               4.470
